Name,Movies,Number of Movies,Url
Rebecca Williams,['Forrest Gump'],1,https://imdb.com/name/nm0931508?ref_=tt_cl_t_5
Michael Conner Humphreys,['Forrest Gump'],1,https://imdb.com/name/nm0402011?ref_=tt_cl_t_6
Harold G. Herthum,['Forrest Gump'],1,https://imdb.com/name/nm0381041?ref_=tt_cl_t_7
George Kelly,['Forrest Gump'],1,https://imdb.com/name/nm0446404?ref_=tt_cl_t_8
Bob Penny,['Forrest Gump'],1,https://imdb.com/name/nm0672225?ref_=tt_cl_t_9
John Randall,['Forrest Gump'],1,https://imdb.com/name/nm0709615?ref_=tt_cl_t_10
Brad Pitt,"['Fight Club', 'Seven', 'Inglourious Basterds', 'Snatch - Tu braques ou tu raques', '12 Years a Slave']",5,https://imdb.com/name/nm0000093?ref_=tt_cl_t_1
Edward Norton,"['Fight Club', 'American History X', 'The Grand Budapest hotel']",3,https://imdb.com/name/nm0001570?ref_=tt_cl_t_2
Meat Loaf,['Fight Club'],1,https://imdb.com/name/nm0001533?ref_=tt_cl_t_3
Zach Grenier,['Fight Club'],1,https://imdb.com/name/nm0340260?ref_=tt_cl_t_4
Richmond Arquette,['Fight Club'],1,https://imdb.com/name/nm0037118?ref_=tt_cl_t_5
David Andrews,['Fight Club'],1,https://imdb.com/name/nm0028625?ref_=tt_cl_t_6
George Maguire,['Fight Club'],1,https://imdb.com/name/nm0536574?ref_=tt_cl_t_7
Eugenie Bondurant,['Fight Club'],1,https://imdb.com/name/nm0094163?ref_=tt_cl_t_8
Christina Cabot,['Fight Club'],1,https://imdb.com/name/nm0127680?ref_=tt_cl_t_9
Helena Bonham Carter,['Fight Club'],1,https://imdb.com/name/nm0000307?ref_=tt_cl_t_10
Leonardo DiCaprio,"['Inception', 'Les infiltrés', 'Django Unchained', 'Le loup de Wall Street', 'Shutter Island', 'Arrête-moi si tu peux']",6,https://imdb.com/name/nm0000138?ref_=tt_cl_t_1
Joseph Gordon-Levitt,"['Inception', 'The Dark Knight Rises']",2,https://imdb.com/name/nm0330687?ref_=tt_cl_t_2
Elliot Page,['Inception'],1,https://imdb.com/name/nm0680983?ref_=tt_cl_t_3
Ken Watanabe,"['Inception', 'Batman Begins']",2,https://imdb.com/name/nm0913822?ref_=tt_cl_t_4
Tom Hardy,"['Inception', 'The Dark Knight Rises', 'Warrior', 'Mad Max: Fury Road']",4,https://imdb.com/name/nm0362766?ref_=tt_cl_t_5
Dileep Rao,['Inception'],1,https://imdb.com/name/nm2438307?ref_=tt_cl_t_6
Tom Berenger,"['Inception', 'Platoon']",2,https://imdb.com/name/nm0000297?ref_=tt_cl_t_8
Marion Cotillard,"['Inception', 'The Dark Knight Rises']",2,https://imdb.com/name/nm0182839?ref_=tt_cl_t_9
Pete Postlethwaite,"['Inception', 'Usual Suspects', 'Au nom du père']",3,https://imdb.com/name/nm0000592?ref_=tt_cl_t_10
Bruce Allpress,['Le Seigneur des anneaux : Les Deux Tours'],1,https://imdb.com/name/nm0021600?ref_=tt_cl_t_5
Cate Blanchett,['Le Seigneur des anneaux : Les Deux Tours'],1,https://imdb.com/name/nm0000949?ref_=tt_cl_t_9
Mark Hamill,"[""L'Empire contre-attaque"", 'La guerre des étoiles', 'Le Retour du Jedi']",3,https://imdb.com/name/nm0000434?ref_=tt_cl_t_1
Harrison Ford,"[""L'Empire contre-attaque"", 'La guerre des étoiles', 'Apocalypse Now', ""Les Aventuriers de l'arche perdue"", 'Le Retour du Jedi', 'Indiana Jones et la dernière croisade', 'Blade Runner']",7,https://imdb.com/name/nm0000148?ref_=tt_cl_t_2
Carrie Fisher,"[""L'Empire contre-attaque"", 'La guerre des étoiles', 'Le Retour du Jedi']",3,https://imdb.com/name/nm0000402?ref_=tt_cl_t_3
Billy Dee Williams,"[""L'Empire contre-attaque"", 'Le Retour du Jedi']",2,https://imdb.com/name/nm0001850?ref_=tt_cl_t_4
Anthony Daniels,"[""L'Empire contre-attaque"", 'La guerre des étoiles', 'Le Retour du Jedi']",3,https://imdb.com/name/nm0000355?ref_=tt_cl_t_5
David Prowse,"[""L'Empire contre-attaque"", 'La guerre des étoiles']",2,https://imdb.com/name/nm0001190?ref_=tt_cl_t_6
Peter Mayhew,"[""L'Empire contre-attaque"", 'La guerre des étoiles', 'Le Retour du Jedi']",3,https://imdb.com/name/nm0562679?ref_=tt_cl_t_7
Kenny Baker,"[""L'Empire contre-attaque"", 'La guerre des étoiles', 'Amadeus']",3,https://imdb.com/name/nm0048652?ref_=tt_cl_t_8
Frank Oz,"[""L'Empire contre-attaque"", 'Le Retour du Jedi', 'Monstres & Cie']",3,https://imdb.com/name/nm0000568?ref_=tt_cl_t_9
Alec Guinness,"[""L'Empire contre-attaque"", 'La guerre des étoiles', ""Lawrence d'Arabie"", 'Le pont de la rivière Kwaï']",4,https://imdb.com/name/nm0000027?ref_=tt_cl_t_10
Keanu Reeves,['Matrix'],1,https://imdb.com/name/nm0000206?ref_=tt_cl_t_1
Laurence Fishburne,"['Matrix', 'Apocalypse Now']",2,https://imdb.com/name/nm0000401?ref_=tt_cl_t_2
Carrie-Anne Moss,"['Matrix', 'Memento']",2,https://imdb.com/name/nm0005251?ref_=tt_cl_t_3
Hugo Weaving,"['Matrix', 'V pour vendetta']",2,https://imdb.com/name/nm0915989?ref_=tt_cl_t_4
Gloria Foster,['Matrix'],1,https://imdb.com/name/nm0287825?ref_=tt_cl_t_5
Joe Pantoliano,"['Matrix', 'Memento']",2,https://imdb.com/name/nm0001592?ref_=tt_cl_t_6
Marcus Chong,['Matrix'],1,https://imdb.com/name/nm0159059?ref_=tt_cl_t_7
Julian Arahanga,['Matrix'],1,https://imdb.com/name/nm0032810?ref_=tt_cl_t_8
Matt Doran,['Matrix'],1,https://imdb.com/name/nm0233391?ref_=tt_cl_t_9
Belinda McClory,['Matrix'],1,https://imdb.com/name/nm0565883?ref_=tt_cl_t_10
Ray Liotta,['Les affranchis'],1,https://imdb.com/name/nm0000501?ref_=tt_cl_t_2
Joe Pesci,"['Les affranchis', 'Il était une fois en Amérique', 'Casino', 'Raging Bull']",4,https://imdb.com/name/nm0000582?ref_=tt_cl_t_3
Lorraine Bracco,['Les affranchis'],1,https://imdb.com/name/nm0000966?ref_=tt_cl_t_4
Paul Sorvino,['Les affranchis'],1,https://imdb.com/name/nm0000649?ref_=tt_cl_t_5
Frank Sivero,['Les affranchis'],1,https://imdb.com/name/nm0803370?ref_=tt_cl_t_6
Tony Darrow,['Les affranchis'],1,https://imdb.com/name/nm0201700?ref_=tt_cl_t_7
Mike Starr,['Les affranchis'],1,https://imdb.com/name/nm0823563?ref_=tt_cl_t_8
Frank Vincent,"['Les affranchis', 'Casino', 'Raging Bull']",3,https://imdb.com/name/nm0898634?ref_=tt_cl_t_9
Chuck Low,['Les affranchis'],1,https://imdb.com/name/nm0522797?ref_=tt_cl_t_10
Jack Nicholson,"[""Vol au-dessus d'un nid de coucou"", 'Les infiltrés', 'Shining', 'Chinatown']",4,https://imdb.com/name/nm0000197?ref_=tt_cl_t_1
Louise Fletcher,"[""Vol au-dessus d'un nid de coucou""]",1,https://imdb.com/name/nm0001221?ref_=tt_cl_t_2
Michael Berryman,"[""Vol au-dessus d'un nid de coucou""]",1,https://imdb.com/name/nm0077720?ref_=tt_cl_t_3
Peter Brocco,"[""Vol au-dessus d'un nid de coucou""]",1,https://imdb.com/name/nm0110480?ref_=tt_cl_t_4
Dean R. Brooks,"[""Vol au-dessus d'un nid de coucou""]",1,https://imdb.com/name/nm0111954?ref_=tt_cl_t_5
Alonzo Brown,"[""Vol au-dessus d'un nid de coucou""]",1,https://imdb.com/name/nm0113000?ref_=tt_cl_t_6
Scatman Crothers,"[""Vol au-dessus d'un nid de coucou"", 'Shining']",2,https://imdb.com/name/nm0001079?ref_=tt_cl_t_7
Mwako Cumbuka,"[""Vol au-dessus d'un nid de coucou""]",1,https://imdb.com/name/nm0191784?ref_=tt_cl_t_8
Danny DeVito,"[""Vol au-dessus d'un nid de coucou"", 'L.A. Confidential']",2,https://imdb.com/name/nm0000362?ref_=tt_cl_t_9
William Duell,"[""Vol au-dessus d'un nid de coucou""]",1,https://imdb.com/name/nm0240239?ref_=tt_cl_t_10
Kevin Spacey,"['Seven', 'Usual Suspects', 'American Beauty', 'L.A. Confidential']",4,https://imdb.com/name/nm0000228?ref_=tt_cl_t_3
Andrew Kevin Walker,['Seven'],1,https://imdb.com/name/nm0001825?ref_=tt_cl_t_4
Daniel Zacapa,['Seven'],1,https://imdb.com/name/nm0669254?ref_=tt_cl_t_5
Gwyneth Paltrow,['Seven'],1,https://imdb.com/name/nm0000569?ref_=tt_cl_t_6
